2015-10-02 03:53:15 101.226.166.196 diff     www.danmaku.us Acfun2.1026 "http://www.danmaku.us/Acfun2/1026?action=diff&minor=y&source=n" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:54:38 112.111.224.67  browse   danmaku.us Main.HomePage "http://bbs.colg.cn/thread-3725026-1-1.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
2015-10-02 03:54:43 46.229.164.102  edit     danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:55:52 101.226.167.213 diff     www.danmaku.us Main.FNQ "http://www.danmaku.us/Main/FNQ?action=diff&diffstart=0&minor=n&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:56:55 46.229.164.98   diff     danmaku.us Acfun2.1198 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:57:02 101.226.167.211 browse   www.danmaku.us Bilibili2.1019 "http://www.danmaku.us/Bilibili2/1019" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:58:08 101.226.168.202 edit     danmaku.us Acfun2.1109 "http://danmaku.us/Acfun2/1109?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:58:59 46.229.164.100  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:59:13 101.226.168.234 diff     www.danmaku.us Main.Xina "http://www.danmaku.us/Main/Xina?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:59:30 101.226.166.226 diff     danmaku.us Bilibili2.1046 "http://danmaku.us/Bilibili2/1046?action=diff&minor=y&source=n" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
