2016-04-07 04:31:54 14.18.29.157    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:QUALIFIED)"
2016-04-07 04:31:55 14.18.29.157    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:QUALIFIED)"
2016-04-07 04:40:30 207.46.13.88    browse   danmaku.us Bilibili2.1076 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-04-07 04:51:33 116.216.0.79    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-04-07 04:51:33 116.216.0.79    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-04-07 04:56:25 180.153.186.16  diff     danmaku.us Acfun2.1085 "http://danmaku.us/Acfun2/1085?action=diff&minor=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
2016-04-07 05:07:46 107.153.110.3   browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SIMBAR Enabled)"
2016-04-07 05:19:46 66.249.69.141   browse   danmaku.us . "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:23:37 157.55.39.214   browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-04-07 05:26:29 157.55.39.17    browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-04-07 05:26:30 157.55.39.17    browse   danmaku.us Bilibili2.HomePage "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-04-07 05:29:42 180.76.15.147   browse   danmaku.us Acfun2.1145 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-04-07 05:32:01 66.249.69.62    browse   danmaku.us Bilibili2.1114 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:34:12 66.249.69.70    browse   danmaku.us Bilibili2.1113 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:35:50 66.249.69.54    browse   danmaku.us Acfun2.HomePage "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:43:04 14.18.29.157    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:QUALIFIED)"
2016-04-07 05:43:04 14.18.29.157    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:QUALIFIED)"
2016-04-07 05:43:21 66.249.69.54    browse   danmaku.us Acfun2.1076 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:43:40 66.249.69.62    browse   danmaku.us Acfun2.1122 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-04-07 05:55:47 106.38.241.153  browse   danmaku.us . "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:55:58 106.38.241.153  browse   danmaku.us Bilibili2.HomePage "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:56:10 106.38.241.153  browse   danmaku.us AcfunN1.1001 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:57:39 106.38.241.153  browse   danmaku.us PmWiki.Uploads "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:57:50 106.38.241.153  browse   danmaku.us PmWikiZhCn.WikiWikiWeb "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:58:03 106.38.241.153  browse   danmaku.us PmWiki.DesignNotes "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:58:15 106.38.241.153  browse   danmaku.us PmWiki.MarkupMasterIndex "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 05:58:28 106.38.241.153  browse   danmaku.us Acfun2.1122 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 06:02:19 106.38.241.153  browse   danmaku.us Acfun2.1078 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 06:02:40 106.38.241.153  browse   danmaku.us Bilibili2.1071 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 06:02:57 106.38.241.153  browse   danmaku.us . "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-04-07 06:02:58 106.38.241.153  browse   danmaku.us Acfun2.1188 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
